#Data Point Listing of File C:\Documents and #Settings\NMR\Desktop\FPraktikum\2021\17122021\mess_1_45.6mhz.tnt
#Starting Point:	1	Ending Point:	1024
#Real	Imag	kHz
-11052.406	-13701.406	1250.000
15401.406	9565.547	1247.559
-25204.313	15474.191	1245.117
9441.484	17417.539	1242.676
6625.641	22868.486	1240.234
-5340.000	-18527.016	1237.793
-15171.961	-716.781	1235.352
-1135.928	1740.391	1232.910
6653.488	679.516	1230.469
3786.023	-184.250	1228.027
-14592.156	15794.207	1225.586
-14156.750	5299.010	1223.145
-160.391	-2222.660	1220.703
15057.711	-7007.445	1218.262
-10896.430	-3147.266	1215.820
-5327.525	-2450.984	1213.379
8496.602	6096.016	1210.938
-764.117	879.563	1208.496
23334.313	-32598.916	1206.055
3414.594	-12667.271	1203.613
7441.281	-15120.431	1201.172
7926.242	20627.758	1198.730
-19046.234	-8300.625	1196.289
-3897.197	5851.555	1193.848
71.447	11213.109	1191.406
5980.934	-110.258	1188.965
-4111.680	12800.664	1186.523
-729.703	8813.086	1184.082
-10803.734	-5515.700	1181.641
-18060.125	-6299.766	1179.199
13288.578	-4381.813	1176.758
-18105.844	26945.359	1174.316
-7762.836	9203.563	1171.875
17398.000	-31574.719	1169.434
687.230	4145.125	1166.992
-8153.617	4048.938	1164.551
-4911.031	7547.063	1162.109
-4559.313	9837.719	1159.668
14006.906	-6163.953	1157.227
2267.031	-24826.281	1154.785
14788.250	-15356.234	1152.344
9317.094	6458.270	1149.902
-7804.125	-21525.906	1147.461
4432.469	-14000.422	1145.020
-12261.656	5796.109	1142.578
911.250	3019.656	1140.137
-797.313	-1524.563	1137.695
-3107.734	-13368.344	1135.254
-408.500	-30293.000	1132.813
15897.641	-1808.750	1130.371
-5358.953	7749.750	1127.930
620.063	8330.813	1125.488
-5687.000	18183.828	1123.047
-4203.281	-8188.000	1120.605
-2190.656	-8897.271	1118.164
12218.375	-11682.891	1115.723
26881.063	-2075.391	1113.281
6584.578	13191.813	1110.840
15811.961	-20766.016	1108.398
14906.771	-9790.859	1105.957
-3523.584	-2703.078	1103.516
-13797.773	5915.617	1101.074
-7271.523	6874.969	1098.633
6549.617	-7724.852	1096.191
-5889.914	-11816.411	1093.750
11027.031	4369.441	1091.309
1417.273	-15214.602	1088.867
-26328.219	-3877.984	1086.426
18555.887	-3641.336	1083.984
1174.291	5851.508	1081.543
6550.113	13278.555	1079.102
10566.988	15741.453	1076.660
9590.242	39.193	1074.219
-12307.219	-17362.137	1071.777
-11682.803	-15427.388	1069.336
-7611.305	5385.068	1066.895
10200.510	-12519.504	1064.453
14473.297	6643.969	1062.012
14888.996	-17453.883	1059.570
13205.732	7489.263	1057.129
17759.059	5086.441	1054.688
-6795.648	-8872.725	1052.246
-17285.219	2919.130	1049.805
-16307.377	24895.465	1047.363
2624.336	-15719.416	1044.922
-13522.915	-5369.401	1042.480
5802.928	-3206.306	1040.039
-1360.273	3424.914	1037.598
-7207.769	1989.543	1035.156
-1731.564	19852.697	1032.715
2405.526	8181.610	1030.273
7054.560	-11779.388	1027.832
-11778.654	-6981.228	1025.391
27733.574	2065.810	1022.949
-7380.740	17895.709	1020.508
-21774.664	-7287.077	1018.066
-2370.479	-3961.729	1015.625
-6798.679	1262.677	1013.184
-9258.560	-7973.542	1010.742
7410.509	-9084.809	1008.301
5265.296	13827.685	1005.859
5097.952	18704.168	1003.418
-19544.318	-8354.828	1000.977
-2708.557	-22697.938	998.535
2935.561	-5544.654	996.094
-1031.100	13794.374	993.652
-35873.785	11840.767	991.211
46.158	-1785.619	988.770
11833.422	-5508.731	986.328
964.791	-33948.305	983.887
-10955.362	-4417.855	981.445
17869.727	-2729.589	979.004
3622.802	-1734.511	976.563
-5967.818	-12538.213	974.121
624.409	2542.322	971.680
16837.543	-6228.607	969.238
6981.676	763.919	966.797
2988.056	10221.992	964.355
-13013.303	-17097.465	961.914
-17488.922	5695.589	959.473
3699.341	1164.332	957.031
16849.305	-6899.738	954.590
12137.726	-12393.559	952.148
-2256.402	8222.908	949.707
-4018.834	9762.516	947.266
7828.197	-14246.604	944.824
-7461.792	-13398.650	942.383
-12334.580	-15236.625	939.941
2791.784	2820.733	937.500
-15832.547	6437.826	935.059
-5260.370	-6008.567	932.617
2499.603	15504.891	930.176
19634.238	31334.352	927.734
-2487.367	5444.139	925.293
-23298.863	13724.039	922.852
-4537.355	5291.162	920.410
144.631	3735.976	917.969
-17155.771	13227.229	915.527
16219.210	10705.219	913.086
-353.746	-4227.633	910.645
-5480.769	5268.991	908.203
29401.184	-2779.909	905.762
-699.134	6939.115	903.320
-26564.803	-92.328	900.879
-16582.023	6360.227	898.438
5759.518	1251.557	895.996
5107.669	20318.381	893.555
-19868.059	-1852.078	891.113
1095.692	-1349.183	888.672
-8381.924	-7319.897	886.230
1373.323	33296.660	883.789
-8080.701	-8634.004	881.348
7479.865	802.931	878.906
21999.145	15250.182	876.465
-20188.305	-22908.061	874.023
1750.419	19831.840	871.582
-15916.093	-8523.122	869.141
-2890.581	-18531.883	866.699
-4533.620	24027.053	864.258
13267.340	19828.869	861.816
-467.138	-25586.715	859.375
1997.694	-31565.121	856.934
20471.313	12481.723	854.492
10604.439	15672.320	852.051
15299.199	18649.471	849.609
-10774.207	5118.974	847.168
8785.979	-1930.659	844.727
-17119.537	4869.953	842.285
348.743	-11087.945	839.844
24112.758	1371.466	837.402
7017.388	3697.405	834.961
-8923.836	-120.588	832.520
2002.268	1171.429	830.078
-810.023	9331.982	827.637
4276.017	12383.732	825.195
261.885	6846.411	822.754
50.994	1541.348	820.313
-4179.874	7476.108	817.871
-21783.180	10025.024	815.430
8775.828	-12092.271	812.988
18929.633	1073.067	810.547
-18536.307	-10401.248	808.105
4056.452	-14421.085	805.664
-7657.701	11748.345	803.223
-12045.240	2218.799	800.781
10219.549	19467.215	798.340
-9332.397	25158.609	795.898
-8823.584	13126.366	793.457
-6226.603	-19569.285	791.016
-13170.368	-8335.260	788.574
-15844.887	4633.320	786.133
8704.621	19235.629	783.691
17350.113	-4432.261	781.250
3041.760	16543.955	778.809
-18211.273	-3928.983	776.367
1740.835	15524.805	773.926
10894.229	5831.502	771.484
11049.986	7058.712	769.043
-8596.337	1980.195	766.602
-16226.885	2818.006	764.160
-15651.088	13559.969	761.719
-7534.023	6564.032	759.277
27718.416	27115.855	756.836
6623.601	-510.834	754.395
-11634.616	11060.079	751.953
-797.367	-9432.229	749.512
7319.771	-8689.844	747.070
-12211.289	-6817.940	744.629
3608.626	10795.470	742.188
-10269.733	-10799.346	739.746
-23732.107	12104.756	737.305
-2396.689	5621.813	734.863
14859.711	-1630.138	732.422
11286.164	8716.495	729.980
2320.575	-9293.626	727.539
11.539	-8326.832	725.098
19278.973	-3859.524	722.656
2102.739	10471.266	720.215
-21939.309	-3656.364	717.773
18442.469	1969.680	715.332
3628.189	3646.980	712.891
1240.140	-13516.303	710.449
11813.830	11613.371	708.008
15755.227	-5746.631	705.566
-2389.961	-9038.093	703.125
13834.702	-8229.587	700.684
2876.172	13567.365	698.242
-501.247	8426.230	695.801
-24601.289	-16388.619	693.359
12413.160	-16380.559	690.918
-5018.606	8439.926	688.477
-237.634	-12480.728	686.035
-10273.590	14725.585	683.594
-1589.233	7986.118	681.152
8726.101	5167.439	678.711
14143.656	-21692.801	676.270
3996.190	914.860	673.828
14761.571	7331.531	671.387
-23753.773	10227.939	668.945
4027.223	21975.133	666.504
11578.595	17499.375	664.063
-5089.419	-2394.515	661.621
17402.418	35501.117	659.180
-11244.294	4922.330	656.738
22911.107	30632.316	654.297
-15835.442	26866.359	651.855
22082.633	14196.035	649.414
-7041.794	9815.271	646.973
12736.420	-12098.780	644.531
-14702.030	-11041.625	642.090
-15028.452	10096.146	639.648
-3847.270	6927.781	637.207
18069.701	-2328.253	634.766
-17036.645	-13527.945	632.324
15752.054	-4537.393	629.883
-4919.135	3631.817	627.441
-4769.844	4484.094	625.000
4301.681	-1289.139	622.559
-5369.154	-27329.195	620.117
5991.951	-37233.840	617.676
-5591.993	17843.125	615.234
-12981.687	8115.256	612.793
-30529.453	26177.676	610.352
-4238.218	-12540.601	607.910
-3860.604	15368.752	605.469
4338.307	-14677.204	603.027
4841.419	17109.785	600.586
-7570.630	21307.488	598.145
9341.096	23717.898	595.703
34245.520	-7365.731	593.262
2212.867	33504.395	590.820
6363.668	21873.465	588.379
10684.381	17374.268	585.938
8648.679	-2093.001	583.496
7032.705	1266.589	581.055
-3686.842	11.240	578.613
10385.333	-2118.324	576.172
30150.088	13046.707	573.730
11329.330	-7088.837	571.289
12861.077	31072.699	568.848
1495.735	2482.860	566.406
1066.721	-4054.015	563.965
-4445.136	17309.254	561.523
10132.775	8996.440	559.082
-2672.756	19429.867	556.641
2582.702	-1945.135	554.199
12952.217	-32600.680	551.758
-14242.841	12161.588	549.316
38883.164	-6609.897	546.875
3475.740	15357.126	544.434
14251.524	-2789.628	541.992
-3343.814	9638.871	539.551
-6086.802	21604.289	537.109
-8349.016	-2433.458	534.668
-38031.258	-4463.938	532.227
4001.353	11963.657	529.785
9273.883	-2430.590	527.344
4572.724	23186.496	524.902
10435.772	30320.609	522.461
-4832.026	-20799.508	520.020
21641.563	33798.613	517.578
-2448.993	7043.928	515.137
20458.934	-889.085	512.695
21907.609	19413.801	510.254
-18993.824	-2217.275	507.813
342.440	-2582.874	505.371
-5670.924	-11959.006	502.930
8677.471	25890.238	500.488
14055.210	22136.559	498.047
20325.000	21273.000	495.605
-6493.307	-1968.049	493.164
2925.334	19026.707	490.723
12601.842	9287.702	488.281
-12428.449	8143.928	485.840
16069.885	-4163.799	483.398
-8640.737	9617.456	480.957
-20118.410	-4295.063	478.516
26378.336	-2787.178	476.074
-8825.640	3209.608	473.633
2382.132	20402.754	471.191
8505.335	4731.381	468.750
-375.448	-32321.859	466.309
-1508.803	-20601.684	463.867
-1121.303	22376.773	461.426
-32294.348	-5183.740	458.984
-6646.546	9777.066	456.543
16784.211	11564.528	454.102
27798.848	-11684.188	451.660
35913.137	-5572.429	449.219
17557.791	-3272.874	446.777
17644.832	-34258.406	444.336
-5832.689	32316.707	441.895
-19123.951	-28210.719	439.453
-3141.169	-17561.363	437.012
-6086.563	-9598.843	434.570
-19768.576	37675.918	432.129
8027.503	8775.841	429.688
-3574.384	921.040	427.246
18389.531	-17837.867	424.805
-13346.966	16788.574	422.363
-14946.482	-6562.762	419.922
-14172.264	5297.687	417.480
4032.905	-2929.522	415.039
-286.967	-1951.671	412.598
23934.168	-7013.666	410.156
-5477.018	-5189.360	407.715
11409.842	-3654.374	405.273
-6434.372	-2251.757	402.832
-2025.311	-5200.215	400.391
-7023.277	17274.266	397.949
5963.170	-15511.198	395.508
-3808.652	-15288.115	393.066
-124.763	6775.371	390.625
21043.725	-16197.178	388.184
41899.973	-5753.724	385.742
-41399.832	4950.512	383.301
3938.203	31845.943	380.859
-10596.707	-2362.937	378.418
-20557.809	-3036.920	375.977
33201.465	17658.078	373.535
6546.335	41704.520	371.094
-37602.246	16412.494	368.652
19154.031	-1860.464	366.211
11688.785	-16356.765	363.770
-3276.704	18897.164	361.328
1139.792	-3921.347	358.887
-7023.108	-2574.941	356.445
26779.344	-4816.396	354.004
-14375.053	-1521.396	351.563
5218.024	-14569.115	349.121
-284.025	11734.028	346.680
7077.826	3813.540	344.238
-7847.947	10254.635	341.797
-15266.844	-4466.378	339.355
-15658.876	-32744.727	336.914
8625.546	8092.783	334.473
5830.038	-2988.877	332.031
-25608.676	-9166.418	329.590
-4952.343	7585.514	327.148
-1755.782	3268.940	324.707
-12550.352	4848.927	322.266
12349.188	-2011.861	319.824
-1853.002	13927.430	317.383
13869.765	16248.705	314.941
16364.590	-8016.842	312.500
10141.838	30181.891	310.059
-5504.688	-12871.501	307.617
-8473.635	2865.360	305.176
16830.334	21043.672	302.734
8752.531	2119.943	300.293
4587.842	27964.402	297.852
-10959.666	-18108.629	295.410
-3824.347	20633.957	292.969
-5249.925	-11863.283	290.527
12828.450	739.127	288.086
18053.297	11511.826	285.645
3704.777	23323.277	283.203
-6016.500	1144.669	280.762
9071.393	20453.123	278.320
15567.201	-1980.008	275.879
11755.623	-19593.383	273.438
-11557.349	-2801.819	270.996
13374.027	-8865.511	268.555
14161.620	-23549.684	266.113
-1653.248	19261.469	263.672
-28598.414	-13376.734	261.230
17488.301	21204.215	258.789
3642.162	-3866.447	256.348
3221.414	42527.594	253.906
26500.270	6687.203	251.465
-12648.623	-1833.549	249.023
16767.104	-9392.484	246.582
-36522.484	7483.275	244.141
197.052	7614.899	241.699
711.817	16505.936	239.258
-11869.170	-15716.553	236.816
30524.502	9686.588	234.375
29324.488	-10709.039	231.934
-7455.129	-21402.527	229.492
-2183.393	-4446.106	227.051
13192.861	7111.029	224.609
-5567.358	11142.471	222.168
19307.969	-3739.925	219.727
6152.815	17136.492	217.285
-8273.129	-9792.307	214.844
16502.873	22448.004	212.402
22444.176	12204.472	209.961
-16363.549	-26119.484	207.520
5819.140	6446.537	205.078
-14348.313	-10411.730	202.637
-6366.140	-10988.408	200.195
24304.063	12629.376	197.754
-5169.350	52136.656	195.313
-16374.854	19009.461	192.871
-3815.266	260.615	190.430
9460.855	7314.079	187.988
33959.063	-4582.525	185.547
21900.154	12166.602	183.105
9103.457	2197.610	180.664
-15418.667	2758.905	178.223
10727.168	-8314.222	175.781
26899.611	1838.423	173.340
1012.321	-21184.572	170.898
-4222.175	-37953.180	168.457
-21931.291	-20277.070	166.016
16911.168	22739.602	163.574
25710.719	673.706	161.133
13443.083	4649.407	158.691
-16647.398	-19433.820	156.250
-5078.193	23172.848	153.809
-6455.446	-504.632	151.367
21526.236	3378.229	148.926
10441.211	1463.042	146.484
8464.611	10870.406	144.043
-6958.069	2782.680	141.602
-7654.479	18594.740	139.160
11788.720	29005.469	136.719
7985.689	-3327.875	134.277
6987.418	-29917.914	131.836
-30159.086	3032.385	129.395
104.563	23397.707	126.953
-8506.771	39433.441	124.512
-6608.461	20310.234	122.070
-20336.473	-16674.695	119.629
-1780.459	34275.805	117.188
-34224.352	-976.916	114.746
-7946.937	-9808.936	112.305
6482.179	13521.414	109.863
-6678.044	12262.997	107.422
-22909.850	-25453.309	104.980
-2389.260	26876.957	102.539
17645.883	-15687.199	100.098
-7724.157	-343.934	97.656
-30888.832	38811.070	95.215
-450.196	51309.797	92.773
19612.074	26082.740	90.332
-14939.274	-5257.862	87.891
7008.622	44667.129	85.449
16046.401	34265.461	83.008
27389.105	1185.212	80.566
47914.766	19191.102	78.125
25707.424	-9262.801	75.684
18588.658	1564.232	73.242
21774.836	-50.855	70.801
22029.367	3118.727	68.359
23247.234	-35017.996	65.918
30925.789	-12200.710	63.477
927.101	-29225.555	61.035
-25262.797	-6442.609	58.594
42518.891	15772.191	56.152
12830.372	-3723.676	53.711
21386.564	-40273.430	51.270
-36812.992	-720.559	48.828
-29274.371	36988.055	46.387
-24633.500	24199.168	43.945
-952.054	29647.432	41.504
-6520.569	44705.102	39.063
58382.184	28184.109	36.621
62879.523	29648.811	34.180
41771.844	-1029.800	31.738
88178.328	-19737.789	29.297
72832.930	-41453.383	26.855
63359.195	-48433.699	24.414
-30825.031	-114307.125	21.973
-56832.887	-135573.031	19.531
-69035.641	-97088.109	17.090
-137631.391	-62979.891	14.648
-204178.125	28303.266	12.207
-182014.516	76631.453	9.766
-148818.563	177530.156	7.324
-120351.641	225436.453	4.883
-27194.344	307351.438	2.441
122901.781	306268.656	0.000
203309.281	257597.828	-2.441
317121.875	144971.141	-4.883
310145.500	14694.943	-7.324
331058.000	-76365.930	-9.766
280483.250	-214198.484	-12.207
174813.938	-266443.125	-14.648
1121.917	-322700.750	-17.090
-55323.910	-296781.438	-19.531
